SMILES,SENTENCE
CC(C)C1CCC(C)CC1OC(=O)CC(C)O,cooling
CC(=O)OCC(COC(=O)C)OC(=O)C,"clean,dairy,sour"
CCCCCCCC(=O)OC/C=C(/CCC=C(C)C)\C,"floral,fruity,fatty,musty,pungent"
CSc1cnccn1,"earthy,nut,sulfuric,ethereal"
CCC1N=C(C)C(C)S1,"meat,nut,musty,sulfuric,coffee,cacao,vegetable"
CCC(C)SC(=O)C=C(C)C,"grass,spicy"
CC(C)CC(C)CCCC(C)O,"meat,floral,green,fruity,mushroom"
CCCCC(C#N)c1ccccc1,"whiteflower,clove,balsamic"
CCC(C)(CCc1ccccc1)OC(=O)C,"whiteflower,hyacinth,green,herbal,fruity"
C[C@@H]1CCc2c(C1)occ2C,"cooling,oily"
CC(C)CO,"ethereal,wine"
CCc1nc(C)cs1,"nut,caramellic,gourmand,coffee,sulfuric,meat"
C/C(=C\CCC1[C@@]2(C)CCCC(C)(C)C2CC[C@@]1(C)O)/CC[C@@H]1C(=C)CCCC1(C)C,"ambergris,green,resinous"
CC1CCC2(C(C)(C)CCCC2(C)O)O1,"camphor,resinous,earthy,green,cooling"
CC(C)CC1OCC(C)O1,"tropicalfruit,ethereal,ripe,liquor,sour,butter"
CCCCCCCCCCCCOC(=O)c1ccccc1O,odorless
OCCCCCCCCCCO,odorless
C1CCC(C1)S,"alliaceous,spicy,vegetable,earthy,cooked,meat"
CC(C)C(=O)OC1CC2CC1C1C=CCC21,"fruity,ambery,cacao,anisic"
CC1=CCC(CC1)C(C)(C)S,"alliaceous,grapefruit,tropicalfruit,woody"
CCC(=O)OCC(=O)OC(C)C1CCCC(C)(C)C1,"musk,ambrette,berry"
O=C1CCCC=C1,"fresh,fruity,burnt,phenolic"
CCCCCC(OC(=O)CCCCC)C,"oily,fruity,musty,pungent"
CC(C)CC(=O)SC,"sharp,ripe,cheese,fermented,vegetable,mushroom,earthy"
CC(CCOC(=O)C(O)C)C,"resinous,fruity,burnt,sweet"
CC(CC(=O)Oc1ccc(cc1)C)C,"herbal,tobacco,animalic,whiteflower,woody,balsamic"
CC(C)CCCC(C)CC#N,"lemon,aldehydic,fatty,metallic"
Cc1ccc2c(cccn2)c1,"leather,green,grass,animalic,tobacco"
C(CCN)CN,"animalic,overripe,seafood"
CC(CC=O)Sc1ccoc1C,"meat,roasted"
CSCCCC(=O)OC,"sweet,cheese,vegetable,fruity"
CC=CC(=O)C(C)CC,"nut,pungent,coffee,chemical"
CC(=O)OCCSC,"tropicalfruit,melon,rancid,meat"
c1ccc(cc1)CCc1ccccn1,"green,musty"
N,ammoniac
C(CS)CS,"meat,sulfuric"
CC1(OCC(CO1)(C)C)c1ccccc1,"grass,resinous,woody"
C/C(=C\CCC)/C(=O)O,"fruity,cheese"
C=CC1(C)CCC(C(O1)(C)C)O,"musty,herbal,fresh,floral"
CCCCCCCS,alliaceous
C=C1CC[C@]2([C@@H]1C2)C(C)C,"resinous,terpenic,citrus"
COc1cc(C=CC=O)ccc1O,"bread,cooked,earthy,vanilla,dairy"
CC(C)COC(=O)CCc1ccco1,"wine,floral,woody,tropicalfruit"
CC(C)CC(=O)C(C(C)C)Sc1ccoc1C,meat
Cc1cc(c(C)o1)S,"meat,sulfuric"
Cc1ccc2c(c1)occ2C,"oily,chemical,burnt,sweet"
CSCCCCC#N,vegetable
CC1=C(C)CCCC1C,"lemon,chemical"
Cc1cnc(C)cn1,"nut,cooked,earthy"
Cc1c(c(=O)cco1)OC(=O)C,"syrup,berry,tropicalfruit"
CCOC(=O)C1C(=CCCC1(C)C)CC,"ripe,rose,woody"
CCC(C)CN,seafood
CCC(C)C1CCCCC1=O,"cooling,camphor,woody"
CC1=CC(=O)CC(C)(C)C1,"cooling,woody,sweet,green,camphor,fruity,musty"
CC1(C)C2CC=C(C=O)[C@@H]1C2,"syrup,cinnamon,green,grass,camphor"
OC(=O)CC1CCCCC1,"sour,pungent,honey,syrup,cacao"
COc1nccnc1CC,"green,earthy"
CCOC(=O)CC,"sweet,apple,pear,fermented,ethereal,liquor"
CCCCC[C@H]1CCCC(=O)O1,"fruity,butter"
C=C(C)CCCC(C)CCOC(=O)CC(C)C,"berry,rose"
C=CC(C)(CCC=C(C)C)OC(=O)/C=C/c1ccccc1,"lily,balsamic,violetflower,green,resinous,ambery"
C/C(=C\CC1CCCC1=O)/CCC=C(C)C,"fresh,fruity,ripe"
CC(=O)CCC(=O)OC(C)C,"fruity,burnt,roasted"
CC[C@@H](C)O,"oily,wine"
CCCCCC1OCC(C)O1,"fresh,vegetable,waxy,body,dry,woody,floral,clean,chemical"
CC(=CCCC(C)CCOC(=O)C=C(C)C)C,"berry,geranium"
CC(=CCC[C@H](C)[C@@H]1C=CC(=CC1)C)C,"sharp,fresh"
CCCCCCCCOC(=O)C=CC,"wine,grass,mushroom,pungent,chemical"
CCCCCN,"ammoniac,seafood"
Cc1cnc2ccccc2n1,"coffee,nut,fruity"
CC(=O)OC1C2CC(C3C=CCC23)C1=C,"mint,floral,cooling,herbal"
CCOC(=O)CCCSC(=O)C,"sulfuric,meat"
CCc1cncc(C)n1,"roasted,earthy"
Cc1csc(n1)C(C)C,"earthy,alliaceous,fruity,coffee,meat"
CC1=CC[C@H](CC1)C(=C)C,"pungent,terpenic,fresh,herbal"
Oc1ccc2c(c1)[C@]13CCCC[C@]3([C@@H](C2)N(CC1)CC1CCC1)O,"pungent,terpenic,coniferous,floral"
CC(=O)OC(C(CC1C(C)CCCC1(C)C)C)C,"woody,fruity,ethereal,ester"
[O-2].[Ca+2],"lemon,terpenic,green"
Cc1ncc2c(n1)CSC2,"sulfuric,rancid,burnt,herbal"
CC(CC)CC(=O)O,"sour,cheese"
COc1ccc2ccccc2c1,"sweet,chemical,violetflower,orange,powdery,spicy"
CCCCCCCCCCCCOC(=O)C(C)O,butter
CC(CC(=O)O)C,"sour,cheese,body"
COc1ccccc1C=O,"vanilla,powdery,floral,sweet,smoky,chemical,almond"
CC1=CC=C(CC1)C(C)C,"pungent,terpenic,citrus"
O=C1/C(=C/c2ccccc2)/C2C(C1(C)CC2)(C)C,odorless
CCCCCCCCCCCCCC(=O)OC(C(CCC(C)C)CCC(C)C)C,odorless
COc1nccnc1CC(C)C,"green,floral,pepper"
CC(=CC=CC(=O)C)C,"cinnamon,coconut,woody,sweet,grass"
OC1C2(C)CCCC1(C)C1C2CC(C1)(C)C,"woody,musty,balsamic"
COc1nccnc1C,"vegetable,roasted"
CC(COC(=O)C(O)C)C,"fruity,caramellic,burnt"
CCCC(=O)OCC(C)OC(=O)CCC,"sweet,fruity,butter"
CCCCC=CC(=O)O,"grass,fruity,ethereal"
CCCCCCc1ccc(cc1)/C=C/C(OC)OC,"fresh,green,fatty,earthy,woody"
O=C(c1ccccc1)OC(COC(=O)c1ccccc1)COC(=O)c1ccccc1,odorless
c1ccncc1,"rancid,sour,overripe,seafood"
C[C@@H]1C(=O)C(=C(C)O1)OC,"burnt,caramellic"
C=C(C)C=O,"hyacinth,earthy"
c1cscc1S,"cooked,meat,alliaceous"
CC(C)CC(=O)Oc1ccc(C)cc1,"tobacco,animalic,sweet,herbal"
CC1(C)C2C=CC(C)(CC2)O1,"mint,lemon"
CC(=O)OCC1CCC(C)(C)C23CC4CC2C13C4(C)C,"woody,ambery,ethereal,ester,herbal"
C/C=C/C(=O)OC/C=C(\C)/CCC=C(C)C,"syrup,almond,spicy,nut"
CC1CC(C)C(=O)C1=O,syrup
CC(=CCC/C(=C/CN=C(C1CC1)O)/C)C,"cooked,caramellic,meat"
CCC(=O)C(C)S,"roasted,meat"
CC(=CCC/C(=C/C=N/c1ccccc1C(=O)OC)/C)C,"lemon,floral"
CCCCCC=CCC(=O)OC,"fruity,sweet,green,melon,cheese,pear,body,dry"
CC(C)(C)C1CCC(CC1)O,"musk,earthy,musty,camphor,leather"
O=C1COC(=C1O)C,"berry,meat"
CC1=C(C(=O)CC1)O,syrup
CCOC(=O)CC(C)S,"sulfuric,roasted,sweet,sour"
CC(C)OC(=O)c1ccccc1N,"violetflower,floral,sweet,honey"
c1ccc(cc1)CC(=O)Cc1ccccc1,"almond,plastic"
CCCCc1cccs1,"fruity,floral,dairy,cooked,meat"
CCCCCC[C@@H](C)O,"dairy,cucumber,sour"
COCC1OC(OC)C(C([C@@H]1O[C@@H]1OC(COC)C(C(C1OC)OC)OC)OC)OC,odorless
CCC(C1OCC=CCO1)CC,"herbal,violetflower,lemon,woody,jasmin"
CC(Cc1ccc(cc1)OC)C=O,"sweet,herbal,fennel,berry,green"
CCC(CCCC(O)(C)C)C,"lemon,floral"
O=C(Nc1ccc(cc1)S(=O)(=O)Nc1nccs1)CCC(=O)O.O,lemon
CC[C@@H](C)C(=O)O,"cheese,body"
C=C(C)CCC(=O)C,"grass,earthy,vegetable"
CC(C)(CC=O)S,"gourmand,cheese"
CCC1SC(CC)SS1,"sulfuric,cooked,roasted"
O=C1CC2C(C1(C)CC2)(C)C,"fresh,camphor,coniferous"
CC(C)CC(CC(C)C)OC(=O)C,"herbal,green,fruity,floral,banana"
CN=C=S,"spicy,sulfuric"
CCC(=O)C1=NCCC1,"seafood,roasted"
CC(CCCC(=O)C)C,"citrus,burnt"
CC(C)c1ccnc(c1)C(=O)C,"grass,violetflower,leaf"
CCC(=O)OC1CC2C(C1(C)CC2)(C)C,"resinous,coniferous,camphor"
CC(C)C1CCC(C)CC1C(=NCCc1ccccn1)O,cooling
Cc1cnc(c(C)n1)C(=O)C,nut
CCCCCCCCCCCCS,"rancid,cooked,meat"
CCOC1=C(C)OC(C1=O)C,"resinous,caramellic,burnt,fruity"
CCOC(=O)OC1C(C)CCC(C)C1C,"berry,rose,leather,metallic"
CCCCCCCCCCCCOC(=O)CCC(=O)OCCCCCCCCCCCC,odorless
CC(C)CC(=O)O,"cheese,sour,ripe,rancid"
CCC(C)C(=O)SC,"sulfuric,tropicalfruit,vegetable"
Cc1cnc2c(n1)CCC2C,"cacao,nut"
CC(=CCCC(C)CC=Nc1ccccc1C(=O)OC)C,"fresh,citrus,grass,sharp,woody"
COC(=O)/C=C(\C(=O)OC)/C,"wine,herbal"
CC1=CC(=O)CC(C)(C)C1=O,"musty,woody,caramellic,green,herbal,lemon"
C/C=C/C(=O)OCCC(C)C,"pungent,fruity,fermented,liquor"
CC(=O)CC(C1CCCCC1)(C)C,"woody,ethereal,ester"
N#CCC1CC=C(C1(C)C)C,"resinous,grass,vanilla,metallic,citrus"
O=C(c1ccccc1)CC(=O)C,"resinous,roasted,fruity,burnt"
CC(=CCCC1=CCC(CC1)C(=C)CCC=C(C)C)C,"woody,lemon,herbal,violetflower,jasmin"
C1/C=C\CCCCCC(=O)OCCCCCCC1,"animalic,musk,ambrette"
c1ccc(cc1)/C=C/C=O,"berry,cinnamon"
CSc1nccnc1C,"sulfuric,coffee,nut"
C/C=C/C(C(=O)OC)C,"fresh,berry,cooked"
CCCCCOC(=O)c1ccccc1N,ester
C1CCCCCC(=O)OCCOC(=O)CCCCC1,"powdery,vanilla,floral,ambrette"
CCCCCCCCCCCCOC(=O)C(O)C,"oily,burnt,fruity"
C=CCO,"spicy,sulfuric"
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1O,"earthy,sweet,grass,camphor"
CC(CCS)S,"alliaceous,meat,nut"
C[C@@H]1C[C@H]2CC(C)(C)CO[C@@H]2C[C@@H]1C,"green,woody,violetflower,grapefruit,herbal,berry"
C1CCN=C1,"ammoniac,seafood"
C=C1C2CCC(C1(C)C)C2,"camphor,coniferous"
CCN=C=S,"alliaceous,spicy,sulfuric"
COC(=O)C(OC(=O)C)(C)C,"woody,herbal,terpenic"
CC(C)[C@]1(CC=C(C)CC1)O,musty
CCCCCCCCCc1ccc(cc1)OP(Oc1ccc(cc1)CCCCCCCCC)Oc1ccc(cc1)CCCCCCCCC,"whiteflower,green,fruity,honey,vanilla"
CCC/C=C/CC(=O)O,"sour,pungent,green,fruity"
COc1cc(ccc1OC)C(=O)O,"sour,spicy"
CCCSSCc1ccco1,alliaceous
CC(=CCCC(C)CC#N)C,"lemon,metallic,waxy,floral"
COC1OC(C(=O)O)C(C(C1O)O)OC1OC(C(=O)OCC(O)C)C(C(C1O)O)C,odorless
Cc1ccccc1C(=O)C,"honey,floral,sweet,powdery,anisic,vanilla,phenolic,burnt,nut"
CC(=O)O[C@@H]1C[C@H]2C([C@@]1(C)CC2)(C)C,"camphor,coniferous,earthy,resinous"
CC12CCC(CC1)C(O2)(C)C,"cooling,camphor"
C1CSCS1,"sweet,alliaceous"
CCOC(=O)COc1ccc(C)cc1,"cherry,caramellic,grass,powdery"
CC1COC(c2ccc(c(c2)OC)O)O1,"vanilla,cacao,dairy,powdery"
CC(CC)COC=O,"fresh,ethereal,fruity,fermented,pungent"
O=CCC/C=C\C,"green,musty,pungent,aldehydic"
C1CSCC1=O,"alliaceous,cooked,meat,vegetable"
CC1SC(C)SS1,"meat,sulfuric"
C=CCSC(=O)CC,"fresh,alliaceous,green,chemical"
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC=C3COC(=O)C,"sharp,dry,cedar,nut,waxy,ethereal"
CC(C)C(=O)OCCCc1ccccc1,"fruity,sweet,syrup,honey,tropicalfruit,fermented,floral"
c1ccc(c(c1)C=O)O,"medicinal,cooling,cinnamon"
c1ccsc1,alliaceous
CCCC(O)C,"ethereal,fermented,fruity"
CCC(C)CO,"roasted,wine,alliaceous,alcoholic,liquor"
CCC(C)/C=C(\C=O)/CSC,"alliaceous,meat,gourmand"
CCC(C)C1=NC(C)C(CC)S1,"meat,nut,cooked"
c1ccc2c(c1)scn2,"plastic,resinous,floral"
CC(CC(=O)OC)O,"wine,apple"
CCCC(CC=O)SC,"butter,grass,fresh"
CC(C)C1(CC=C(C)CC1)O,"woody,spicy,citrus,terpenic"
CC(C)c1ccc(C)cc1,"woody,pepper,chemical,terpenic,overripe,lemon,resinous,spicy,herbal"
C=CCc1cc(c(c(c1)OC)O)OC,"smoky,meat,phenolic,sweet,woody"
CC(C)CCC(=O)SC,"fermented,tropicalfruit,cheese,vegetable"
CCC1(C(=O)OCC)C(C)(c2ccccc2)O1,"syrup,berry"
CC(=O)c1ccnc(C)n1,"burnt,meat,roasted"
C=Cc1c(C)ncs1,"musty,nut,woody,vegetable"
CCC(S)S,"alliaceous,cooked,gourmand"
C1=CC(=O)OC1,butter
C=C(C)CCC[C@H](C)CCO,"rose,berry,metallic"
C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,"rose,honey,rancid,violetflower"
C/C=C(\C)/CSC,"cooked,roasted,meat"
CCCC(=O)OC(C)(C=C)CCC=C(C)C,"floral,blueberry,tropicalfruit,citrus,spicy"
C=CC(=C)CC[C@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C,"green,terpenic,woody,ambery,herbal"
CC(C)CCCC(C)CCO,"rose,leather,plastic"
C=C(C)C1=CC=C(C)CC1,"oily,camphor,cooling,resinous,tropicalfruit"
CCCC1C2C=CC(C2)C1C=O,"musty,watery,aldehydic,body"
C([C@@H](C(=O)O)N)C(=O)O,odorless
c1cscn1,"nut,meat"
CC1C(C)C(=O)C(=C1C)O,"dry,woody,burnt,syrup,coffee,bread"
CSCCCN,"sulfuric,vegetable,ripe,cheese"
CC(=O)CC(C)S,"pungent,meat"
OCC1CCCO1,"fresh,ethereal,burnt,fruity"
C=CCSCCC,"alliaceous,green"
COc1cc(ccc1O)C1OCC(O1)COC1CC(C)CCC1C(C)C,odorless
CCN(CC)CC,"ammoniac,seafood"
CC(CCOC(Cc1ccccc1)OCCC(C)C)C,"hyacinth,resinous,cacao"
OCCCCC(C(C1CCC2C1(C)CCC1C2CC(C23C1(C)CCC3C2)OC)C)O,"sour,spicy,woody"
CCOc1c(C)nccn1,"nut,almond,tropicalfruit,earthy"
CC(=O)c1c(cco1)O,"burnt,caramellic,fruity"
CCCCCC(C)S,"alliaceous,pungent,body,rancid,vegetable"
CC(=O)C=Cc1ccccc1,"syrup,anisic,cinnamon,balsamic,powdery,phenolic"
CCCCC(=O)CCC,"fruity,herbal,spicy,butter"
CC(C)Cc1nccs1,"vegetable,musty,waxy"
CC(CC=O)CC(C)(C)C,"aldehydic,dry,grass,citrus"
C/C=C(\C(=O)OCCC(C)C)/C,"ethereal,wine,fresh"
CC=C(C=O)c1ccccc1,"musty,floral,honey,powdery,cacao"
CCCC1CCCC=CCCC(=O)O1,"fruity,butter"
CC(OC(=O)c1cccnc1)C,"tobacco,resinous,fruity"
CC1CC(CC(=O)O)CC(C1)(C)C,"sour,animalic"
C/C=C(\C)/COC(=O)C(C)CC,"ester,berry"
CC=CC(=O)OCC,"sharp,liquor,cognac,tropicalfruit,meat"
CCCCc1ccnc2c1cccc2,"animalic,tobacco,herbal"
CC(=C1CC=C(C)CC1)C,"sweet,resinous,lemon,oily"
Oc1cccc(c1)Nc1nccc(n1)c1sc(nc1C)C,"orange,terpenic,sweet,oily"
CCCCCC(C=C)OC(=O)CCC,"fruity,whiteflower,butter,watery,metallic,mushroom"
CC(C=O)CC,"apple,herbal,fermented"
CC(=CCC[C@@H](C)CCOC(=O)C)C,"lemon,rancid,aldehydic"
C1COC=CC1,"ethereal,burnt,fruity"
O=C1CCC(C23C1C(C)(C)C(C3)CC2)(C)C,"musk,earthy,tobacco,rancid"
O=C(C(C)C)O[C@@H]1C[C@@H]2C([C@@]1(C)CC2)(C)C,"camphor,coniferous,fruity"
CCCSSSC,"alliaceous,green,metallic,clean,cooked"
CC(C)C(=O)SC,"sharp,fruity"
CCC(=O)SC,"alliaceous,dairy,vegetable"
CC(=O)OC1CC2CC1C(=C)C2(C)C,"resinous,coniferous,herbal"
CC1CCC2=C(C)C(=O)OC2=C1,"green,grass,vanilla,coconut"
O=C(c1ccccc1)Oc1ccc2c(c1)cccc2,odorless
CCCCCC(CC(=O)OC)OC(=O)C,"wine,green"
CC1(C)SC(C)(C)SC(C)(C)S1,"sulfuric,burnt,meat,green,grapefruit,blackcurrant,berry,cooling,animalic,tropicalfruit"
CC(c1ccccn1)C,"terpenic,green,woody"
CO[C@H]1C[C@@H]2C([C@]1(C)CC2)(C)C,"resinous,camphor,coniferous"
CCC(C)CCCC(C)(C)O,"lemon,lily"
C=CC(=CCC=C(C)CCC=C(C)C)C,"lemon,herbal,floral,resinous,pungent,violetflower"
CC[C@@H]1CCC(=O)O1,"sweet,coconut,grass"
CCCCO,"alcoholic,oily,sweet,balsamic,liquor"
CC1=CC[C@H](CC1)C(C)(C)O,"floral,terpenic"
CCOc1ccccc1OC,"medicinal,burnt,spicy"
O=CC[C@H]1CC=C(C1(C)C)C,"green,violetflower,orange"
CSc1ccc(o1)C,"sulfuric,coffee,cooked"
CCOc1cc(ccc1[O-])C=O.CC(C)C(=O)O,"caramellic,dairy,vanilla,cooling,cacao,dry,liquor"
CCCCc1c(C)nccn1,"anisic,dry,woody"
CCOc1nccnc1CC,"green,roasted"
Cc1cnc(c(n1)C)C(=O)C,"resinous,nut,caramellic"
CCCCCCCC=C(CCCCCC)C=O,"oily,musty,pungent"
OC1CCCCC1,"ethereal,fermented,fruity"
CC(=C)CC(OC(=O)C(C)C)C,"fruity,ester,apple,herbal"
C(CCCCS)CCCS,"sulfuric,meat,mushroom"
CC1COC(C(C)c2ccccc2)O1,"grass,mushroom,meat"
C=CCSSSC,"alliaceous,dairy"
CCCSSSCCC,"pungent,alliaceous,vegetable,tropicalfruit"
CC/C=C\CCOC(=O)C(C)CC,"apple,earthy,pear,berry,sour,body"
CCc1c(C)oc(C)n1,"burnt,roasted"
c1ccc(cc1)S,"meat,phenolic,alliaceous,plastic"
CC(=O)CCCc1ccccc1,"floral,sweet,green"
CC1CCC2C3(C1(C)C1C(C1(C)C)CC3)O2,"dry,musty,powdery"
OCCOCCOCCO,odorless
CCCCC(=O)OC(=O)c1ccccc1O,"sweet,resinous,floral,grass"
OC(=O)c1ccccc1O,"sour,medicinal,phenolic"
Cc1nccnc1C,"coffee,cacao,nut"
C(CCCS)CCS,"burnt,fatty,meat,mushroom,sulfuric"
C=C1CCC2(C1C2)C(C)C,"resinous,terpenic,citrus,spicy"
C1CCC(CC1)CC(=O)O,"sharp,sour,cheese,powdery,honey"
CC(=CCC/C(=C/CCc1ccncc1)/C)C,"watery,butter,clean,rancid,metallic"
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3CC12CC[C@@]3(C)OC,"dry,ambergris,musty"
COC(=O)[C@]1(C)CCC[C@]2(C1CC=C1C2CCC(=C1)C(C)C)C,odorless
CC(=CCCC(=CCCC(=CCCC(=O)C)C)C)C,"wine,floral,dairy"
CC(CCOCCc1ccccc1)C,"rose,hyacinth,cacao"
CCCCCC(=O)C(C)(C(=O)C)O,"plastic,earthy"
CC(C)CC(=O)OCCc1ccccc1,"blueberry,ripe,tropicalfruit"
CC(CC(=O)OC)SC,"sweet,cooked"
O=CC(c1ccccc1)CC=C,"fresh,herbal,roasted"
CCC(C)(CCC=C(C)C)O,"woody,rose,citrus,blueberry,grass"
C=CC(CC=C(C)C)(C=O)C,"fresh,citrus,violetflower"
Cc1ccc(o1)C(=O)C,"nut,grass,vanilla"
CCCCc1cccnc1,"rancid,tobacco"
CCCCN(c1ccc(c(c1)C)N=Nc1c(C#N)cc(cc1C#N)[N+](=O)[O-])CCOC(=O)C,odorless
CCC(COC(=O)C)CC,"fruity,fermented"
CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C,"resinous,camphor,coniferous"
CC(CCOC(=O)CC(=O)C)C,"sweet,green,herbal,fruity,burnt"
OC(=O)c1ccco1,odorless
CCCC(=O)OC(C)C(=O)OCC,"fruity,butter,sweet"
c1ccc2cc(ccc2c1)S,"sulfuric,plastic,meat,roasted,woody,dairy,vegetable"
C[C@H](CC#N)CCC=C(C)C,"lemon,herbal"
C=C1[C@H]2C[C@@H](CC1O)C2(C)C,"woody,balsamic,fennel"
c1ccc2c(c1)ncs2,"sulfuric,plastic,vegetable,cooked,caramellic,nut,coffee,meat"
CC(C)O,"alcoholic,musty,woody"
CC(COC(=O)C)c1ccccc1,"hyacinth,floral,green,earthy"
CCC(CO)CC,"fresh,ethereal,fermented,fruity"
CC(C)[C@@H]1CC[C@H](C)C[C@H]1OCC(C)(CO)O,cooling
CC(Cc1ccc(cc1)OC)C=Nc1ccccc1C(=O)OC,"sweet,anisic,floral,violetflower,powdery"
Cc1ccc(s1)C=O,"sweet,nut,coffee,earthy,gourmand,meat"
c1ccc(cc1)CCN,"ammoniac,seafood"
CCC(C(=O)C(=O)OC)C,"burnt,fruity,caramellic"
Cc1ccc(o1)SC,"spicy,sulfuric,alliaceous,coffee,pepper"
CC1COC(C)(C(C)O)O1,butter
C/C(=C\CC1=C(C)CCCC1(C)C)/C=O,"dry,violetflower,tobacco,nut,fresh,leaf,grass,spicy"
CC(=CCC/C(=C/C(C)OC(=O)C)/C)C,"lemon,cheese,earthy,woody"
C=CC1(C)CCC(C(C)(C)O)O1,"musty,camphor,alcoholic"
OC(=O)COc1ccccc1,"sour,honey"
C=CC(=C)CCCC(O)(C)C,"lemon,floral,ethereal"
CC1=CC(C)C(CC1)C(=O)C(C)(C)C,"herbal,musty,grapefruit"
CC=CC=CCOC(=O)CCC,"wine,green,cheese"
COC(=O)c1ccccc1/N=C/CC(CC(C)(C)C)C,"green,whiteflower,citrus,violetflower"
c1cc(CO)sc1,"gourmand,coffee"
CC(C)(C)C(=O)OCCc1ccccc1,"geranium,spicy,blueberry"
CC1=CC[C@@H](CC1)C(=C)C,"pungent,terpenic,orange,berry"
c1ccc(cc1)/C=C(/C(CO)O)\O,"musty,berry,cherry"
Oc1ccccc1,"phenolic,medicinal,alcoholic"
c1ccc(cc1)Nc1ccccc1,"resinous,seafood"
CCC(=O)O,"pungent,sour,dairy"
CC=CCCC1CCCC(=O)O1,"coconut,fruity,whiteflower,jasmin"
CCCCCCCCCCCC1CCCC(=O)O1,butter
CC=CC(C)C(=O)OCC,"fruity,green,cooling,sweet"
CCOC(C)OC(=O)C,"fresh,blueberry"
CC(C)CC1N=C(C)C(C)S1,"green,nut,body,sulfuric,burnt,cacao,earthy"
O=Cc1ccc(cc1)O,odorless
CCCC(=O)OC1=C(C)OC(C)C1=O,"tropicalfruit,ethereal,grass,spicy,sulfuric"
CC(C)COC(=O)C(C)C,"ethereal,grape,tropicalfruit,body,banana"
C[C@@H](CO)c1ccccc1,"floral,sweet,hyacinth,earthy,fruity"
CC(=CCC/C(=C\C=O)/C)C,"sweet,lemon,oily"
CC(S)S,"meat,roasted"
CSS(=O)(=O)C,"pungent,roasted"
CC(C)CC(=O)OC1CC(C)CCC1C(C)C,"fruity,cooling,sweet,woody"
O=C1OCC=C1C,"fresh,fruity,cheese"
COC(=O)[C@@H](O)C,"fruity,burnt,caramellic"
CCC(=O)c1nccs1,"earthy,bread,nut,caramellic"
CC1=CC(C)(C)C=C(C)C1=O,"sweet,mint,woody,grass"
CC(=CCCC(C)CC(=O)OC)C,"geranium,dry,grass,musty,waxy,wine"
CCC1OC(=O)C=C1,"sweet,resinous,fruity,green,grass"
C[C@@H]1CC[C@H]2C(C)(C)C3CC12CCC3(C)OC(=O)C,"sharp,dry,cedar"
OCCC(C)C,"fresh,ethereal,alcoholic,fermented"
O=C(c1ccccc1)C(=O)C,"resinous,caramellic,burnt,plastic"
CCCC(=O)OC1CC2C(C1(C)CC2)(C)C,"fresh,coniferous,camphor,fruity"
c1ccco1.CN1C(=O)C2N(C)C=NC2N(C1=O)C.OC(=O)c1cccnc1.C[n+]1cccc(c1)C(=O)[O-],coffee
O=Cc1cocc1,"fresh,resinous,burnt,almond"
COc1cc(C=O)ccc1OC(=O)C(C)C,"vanilla,floral,cacao"
CC(C)CCOC(=O)C,"banana,ripe,ester"
CC1CC(C)SS1,"alliaceous,cooked"
CCC(=O)OC(COC(=O)CC)COC(=O)CC,odorless
OCc1ccco1,"fermented,cooked,sweet,resinous"
CC(CC=O)c1ccccc1,"earthy,green,herbal,hyacinth"
CCC=C(C)C(=O)O,"sour,body,syrup,woody"
Cc1cccc(CCO)c1,"floral,jasmin,lily,woody"
CCC(OC(=O)C(O)C)C,"fruity,burnt,caramellic"
CC(=O)OC1(C)CCC(CC1)C(C)C,"fresh,coniferous,floral,fruity"
CC(C(C)(C)C)O,"fresh,fermented,earthy,camphor"
C[C@]12CCC[C@](C2)(O)[C@@H]2[C@@H](CC1)C(C2)(C)C,"woody,musty"
CC(C)C1=CC=C(C)CC1,"citrus,woody,camphor,fruity,sweet"
CC(=CCC/C(=C\1/CCC(=CC1)C)/C)C,"oily,resinous,terpenic,orange,tropicalfruit,green,banana,balsamic,pungent,floral"
CCCCCC(OC(=O)C)COC(=O)C,"aldehydic,sour,pungent"
CC1COC(c2ccccc2)O1,"whiteflower,sweet,woody"
CCC(=O)OC/C=C(\CCC=C(C)C)/C,"syrup,rose"
CCCCCCCO,"oily,musty,pungent"
CC[C@H](C)O,"oily,wine"
COC(CC(=O)C)OC,"fresh,herbal,fruity,caramellic,musty,pungent"
C=CCSSSSCC=C,alliaceous
CCCc1nc(C)cnc1C,"roasted,vegetable"
CCOC1=CC2=C(C=C1)C(C)=CC(=O)O2,"resinous,camphor,coniferous"
CSCSCSC,"sulfuric,cooked,roasted"
COC=O,"plum,ester"
CCC1=C(O)C(=O)C(O1)C,"bread,resinous,syrup"
CCc1ccc(C)o1,"fresh,chemical,burnt"
c1cc(sc1)SSc1cccs1,"plastic,mushroom"
CCC(C(=O)OCCC(C)C)C,"apple,fermented,fatty,vegetable,meat"
